iteration;rss
844;3108.46940402
845;3108.42729908
846;3108.38519494
847;3108.3430916
848;3108.30098907
849;3108.25888733
850;3108.21678639
851;3108.17468626
852;3108.13258692
853;3108.09048839
854;3108.04839066
855;3108.00629373
856;3107.96419759
857;3107.92210226
858;3107.88000773
859;3107.837914
860;3107.79582108
861;3107.75372895
862;3107.71163762
863;3107.66954709
864;3107.62745737
865;3107.58536844
866;3107.54328032
867;3107.50119299
868;3107.45910647
869;3107.41702075
870;3107.37493582
871;3107.3328517
872;3107.29076838
873;3107.24868586
874;3107.20660414
875;3107.16452322
876;3107.1224431
877;3107.08036378
878;3107.03828526
879;3106.99620754
880;3106.95413062
881;3106.9120545
882;3106.86997919
883;3106.82790467
884;3106.78583095
885;3106.74375804
886;3106.70168592
887;3106.6596146
888;3106.61754409
889;3106.57547437
890;3106.53340546
891;3106.49133734
892;3106.44927002
893;3106.40720351
894;3106.36513779
895;3106.32307288
896;3106.28100876
897;3106.23894545
898;3106.19688294
899;3106.15482122
900;3106.11276031
901;3106.07070019
902;3106.02864088
903;3105.98658236
904;3105.94452465
905;3105.90246774
906;3105.86041162
907;3105.81835631
908;3105.77630179
909;3105.73424808
910;3105.69219516
911;3105.65014305
912;3105.60809173
913;3105.56604122
914;3105.5239915
915;3105.48194259
916;3105.43989447
917;3105.39784716
918;3105.35580064
919;3105.31375492
920;3105.27171001
921;3105.22966589
922;3105.18762257
923;3105.14558006
924;3105.10353834
925;3105.06149742
926;3105.0194573
927;3104.97741798
928;3104.93537946
929;3104.89334174
930;3104.85130482
931;3104.8092687
932;3104.76723338
933;3104.72519886
934;3104.68316514
935;3104.64113222
936;3104.5991001
937;3104.55706877
938;3104.51503825
939;3104.47300853
940;3104.4309796
941;3104.38895148
942;3104.34692415
943;3104.30489762
944;3104.2628719
945;3104.22084697
946;3104.17882284
947;3104.13679951
948;3104.09477698
949;3104.05275525
950;3104.01073432
951;3103.96871419
952;3103.92669486
953;3103.88467632
954;3103.84265859
955;3103.80064165
956;3103.75862552
957;3103.71661018
958;3103.67459565
959;3103.63258191
960;3103.59056897
961;3103.54855683
962;3103.50654549
963;3103.46453495
964;3103.4225252
965;3103.38051626
966;3103.33850812
967;3103.29650077
968;3103.25449422
969;3103.21248848
970;3103.17048353
971;3103.12847938
972;3103.08647603
973;3103.04447348
974;3103.00247172
975;3102.96047077
976;3102.91847062
977;3102.87647126
978;3102.8344727
979;3102.79247495
980;3102.75047799
981;3102.70848183
982;3102.66648646
983;3102.6244919
984;3102.58249814
985;3102.54050517
986;3102.49851301
987;3102.45652164
988;3102.41453107
989;3102.3725413
990;3102.33055233
991;3102.28856415
992;3102.24657678
993;3102.2045902
994;3102.16260443
995;3102.12061945
996;3102.07863527
997;3102.03665189
998;3101.9946693
999;3101.95268752
1000;3101.91070653
1001;3101.86872635
1002;3101.82674696
1003;3101.78476837
1004;3101.74279058
1005;3101.70081358
1006;3101.65883739
1007;3101.61686199
1008;3101.57488739
1009;3101.53291359
1010;3101.49094059
1011;3101.44896839
1012;3101.40699699
1013;3101.36502638
1014;3101.32305657
1015;3101.28108756
1016;3101.23911935
1017;3101.19715194
1018;3101.15518532
1019;3101.11321951
1020;3101.07125449
1021;3101.02929027
1022;3100.98732685
1023;3100.94536422
1024;3100.9034024
1025;3100.86144137
1026;3100.81948114
1027;3100.77752171
1028;3100.73556308
1029;3100.69360524
1030;3100.65164821
1031;3100.60969197
1032;3100.56773653
1033;3100.52578188
1034;3100.48382804
1035;3100.44187499
1036;3100.39992274
1037;3100.35797129
1038;3100.31602064
1039;3100.27407079
1040;3100.23212173
1041;3100.19017347
1042;3100.14822601
1043;3100.10627935
1044;3100.06433348
1045;3100.02238841
1046;3099.98044414
1047;3099.93850067
1048;3099.896558
1049;3099.85461612
1050;3099.81267504
1051;3099.77073476
1052;3099.72879528
1053;3099.6868566
1054;3099.64491871
1055;3099.60298162
1056;3099.56104533
1057;3099.51910983
1058;3099.47717514
1059;3099.43524124
1060;3099.39330814
1061;3099.35137583
1062;3099.30944433
1063;3099.26751362
1064;3099.22558371
1065;3099.18365459
1066;3099.14172628
1067;3099.09979876
1068;3099.05787204
1069;3099.01594611
1070;3098.97402099
1071;3098.93209666
1072;3098.89017313
1073;3098.84825039
1074;3098.80632846
1075;3098.76440732
1076;3098.72248698
1077;3098.68056743
1078;3098.63864869
1079;3098.59673074
1080;3098.55481359
1081;3098.51289723
1082;3098.47098167
1083;3098.42906691
1084;3098.38715295
1085;3098.34523978
1086;3098.30332742
1087;3098.26141584
1088;3098.21950507
1089;3098.17759509
1090;3098.13568591
1091;3098.09377753
1092;3098.05186995
1093;3098.00996316
1094;3097.96805717
1095;3097.92615197
1096;3097.88424758
1097;3097.84234398
1098;3097.80044117
1099;3097.75853917
1100;3097.71663796
1101;3097.67473755
1102;3097.63283793
1103;3097.59093911
1104;3097.54904109
1105;3097.50714387
1106;3097.46524744
1107;3097.42335181
1108;3097.38145698
1109;3097.33956294
1110;3097.2976697
1111;3097.25577726
1112;3097.21388561
1113;3097.17199476
1114;3097.13010471
1115;3097.08821546
1116;3097.046327
1117;3097.00443934
1118;3096.96255247
1119;3096.9206664
1120;3096.87878113
1121;3096.83689666
1122;3096.79501298
1123;3096.7531301
1124;3096.71124801
1125;3096.66936672
1126;3096.62748623
1127;3096.58560654
1128;3096.54372764
1129;3096.50184954
1130;3096.45997223
1131;3096.41809572
1132;3096.37622001
1133;3096.33434509
1134;3096.29247097
1135;3096.25059765
1136;3096.20872512
1137;3096.16685339
1138;3096.12498246
1139;3096.08311232
1140;3096.04124298
1141;3095.99937444
1142;3095.95750669
1143;3095.91563974
1144;3095.87377358
1145;3095.83190823
1146;3095.79004366
1147;3095.7481799
1148;3095.70631693
1149;3095.66445475
1150;3095.62259338
1151;3095.5807328
1152;3095.53887301
1153;3095.49701402
1154;3095.45515583
1155;3095.41329843
1156;3095.37144183
1157;3095.32958603
1158;3095.28773102
1159;3095.24587681
1160;3095.20402339
1161;3095.16217077
1162;3095.12031895
1163;3095.07846792
1164;3095.03661769
1165;3094.99476826
1166;3094.95291962
1167;3094.91107178
1168;3094.86922473
1169;3094.82737848
1170;3094.78553302
1171;3094.74368836
1172;3094.7018445
1173;3094.66000143
1174;3094.61815916
1175;3094.57631768
1176;3094.534477
1177;3094.49263712
1178;3094.45079803
1179;3094.40895974
1180;3094.36712224
1181;3094.32528554
1182;3094.28344964
1183;3094.24161453
1184;3094.19978021
1185;3094.1579467
1186;3094.11611397
1187;3094.07428205
1188;3094.03245092
1189;3093.99062058
1190;3093.94879104
1191;3093.9069623
1192;3093.86513435
1193;3093.8233072
1194;3093.78148084
1195;3093.73965528
1196;3093.69783051
1197;3093.65600654
1198;3093.61418337
1199;3093.57236099
1200;3093.53053941
1201;3093.48871862
1202;3093.44689863
1203;3093.40507943
1204;3093.36326103
1205;3093.32144342
1206;3093.27962661
1207;3093.23781059
1208;3093.19599537
1209;3093.15418095
1210;3093.11236732
1211;3093.07055449
1212;3093.02874245
1213;3092.9869312
1214;3092.94512075
1215;3092.9033111
1216;3092.86150224
1217;3092.81969418
1218;3092.77788691
1219;3092.73608044
1220;3092.69427477
1221;3092.65246988
1222;3092.6106658
1223;3092.56886251
1224;3092.52706001
1225;3092.48525831
1226;3092.4434574
1227;3092.40165729
1228;3092.35985798
1229;3092.31805946
1230;3092.27626173
1231;3092.2344648
1232;3092.19266866
1233;3092.15087332
1234;3092.10907878
1235;3092.06728503
1236;3092.02549207
1237;3091.98369991
1238;3091.94190855
1239;3091.90011798
1240;3091.8583282
1241;3091.81653922
1242;3091.77475103
1243;3091.73296364
1244;3091.69117704
1245;3091.64939124
1246;3091.60760624
1247;3091.56582202
1248;3091.52403861
1249;3091.48225598
1250;3091.44047416
1251;3091.39869312
1252;3091.35691288
1253;3091.31513344
1254;3091.27335479
1255;3091.23157694
1256;3091.18979988
1257;3091.14802361
1258;3091.10624814
1259;3091.06447347
1260;3091.02269959
1261;3090.9809265
1262;3090.93915421
1263;3090.89738271
1264;3090.85561201
1265;3090.8138421
1266;3090.77207298
1267;3090.73030466
1268;3090.68853714
1269;3090.64677041
1270;3090.60500447
1271;3090.56323933
1272;3090.52147498
1273;3090.47971143
1274;3090.43794867
1275;3090.39618671
1276;3090.35442554
1277;3090.31266516
1278;3090.27090558
1279;3090.2291468
1280;3090.1873888
1281;3090.14563161
1282;3090.1038752
1283;3090.06211959
1284;3090.02036478
1285;3089.97861076
1286;3089.93685753
1287;3089.8951051
1288;3089.85335346
1289;3089.81160261
1290;3089.76985256
1291;3089.72810331
1292;3089.68635484
1293;3089.64460718
1294;3089.6028603
1295;3089.56111422
1296;3089.51936894
1297;3089.47762445
1298;3089.43588075
1299;3089.39413784
1300;3089.35239573
1301;3089.31065442
1302;3089.2689139
1303;3089.22717417
1304;3089.18543523
1305;3089.14369709
1306;3089.10195975
1307;3089.0602232
1308;3089.01848744
1309;3088.97675247
1310;3088.9350183
1311;3088.89328493
1312;3088.85155234
1313;3088.80982055
1314;3088.76808956
1315;3088.72635936
1316;3088.68462995
1317;3088.64290133
1318;3088.60117351
1319;3088.55944649
1320;3088.51772025
1321;3088.47599481
1322;3088.43427017
1323;3088.39254632
1324;3088.35082326
1325;3088.30910099
1326;3088.26737952
1327;3088.22565884
1328;3088.18393896
1329;3088.14221987
1330;3088.10050157
1331;3088.05878407
1332;3088.01706736
1333;3087.97535144
1334;3087.93363632
1335;3087.89192199
1336;3087.85020845
1337;3087.80849571
1338;3087.76678376
1339;3087.72507261
1340;3087.68336224
1341;3087.64165267
1342;3087.5999439
1343;3087.55823592
1344;3087.51652873
1345;3087.47482233
1346;3087.43311673
1347;3087.39141192
1348;3087.3497079
1349;3087.30800468
1350;3087.26630225
1351;3087.22460062
1352;3087.18289977
1353;3087.14119972
1354;3087.09950047
1355;3087.057802
1356;3087.01610433
1357;3086.97440745
1358;3086.93271137
1359;3086.89101608
1360;3086.84932158
1361;3086.80762788
1362;3086.76593497
1363;3086.72424285
1364;3086.68255152
1365;3086.64086099
1366;3086.59917125
1367;3086.5574823
1368;3086.51579415
1369;3086.47410679
1370;3086.43242022
1371;3086.39073444
1372;3086.34904946
1373;3086.30736527
1374;3086.26568188
1375;3086.22399927
1376;3086.18231746
1377;3086.14063645
1378;3086.09895622
1379;3086.05727679
1380;3086.01559815
1381;3085.9739203
1382;3085.93224325
1383;3085.89056699
1384;3085.84889152
1385;3085.80721684
1386;3085.76554296
1387;3085.72386987
1388;3085.68219757
1389;3085.64052607
1390;3085.59885535
1391;3085.55718543
1392;3085.51551631
1393;3085.47384797
1394;3085.43218043
1395;3085.39051368
1396;3085.34884773
1397;3085.30718256
1398;3085.26551819
1399;3085.22385461
1400;3085.18219182
1401;3085.14052983
1402;3085.09886863
1403;3085.05720822
1404;3085.0155486
1405;3084.97388978
1406;3084.93223174
1407;3084.8905745
1408;3084.84891806
1409;3084.8072624
1410;3084.76560754
1411;3084.72395347
1412;3084.68230019
1413;3084.6406477
1414;3084.59899601
1415;3084.55734511
1416;3084.515695
1417;3084.47404568
1418;3084.43239716
1419;3084.39074942
1420;3084.34910248
1421;3084.30745634
1422;3084.26581098
1423;3084.22416642
1424;3084.18252264
1425;3084.14087966
1426;3084.09923748
1427;3084.05759608
1428;3084.01595548
1429;3083.97431567
1430;3083.93267665
1431;3083.89103842
1432;3083.84940098
1433;3083.80776434
1434;3083.76612849
1435;3083.72449343
1436;3083.68285916
1437;3083.64122569
1438;3083.599593
1439;3083.55796111
1440;3083.51633001
1441;3083.4746997
1442;3083.43307019
1443;3083.39144146
1444;3083.34981353
1445;3083.30818639
1446;3083.26656004
1447;3083.22493448
1448;3083.18330972
1449;3083.14168574
1450;3083.10006256
1451;3083.05844017
1452;3083.01681857
1453;3082.97519777
1454;3082.93357775
1455;3082.89195853
1456;3082.8503401
1457;3082.80872246
1458;3082.76710561
1459;3082.72548955
1460;3082.68387428
1461;3082.64225981
1462;3082.60064613
1463;3082.55903324
1464;3082.51742114
1465;3082.47580983
1466;3082.43419931
1467;3082.39258959
1468;3082.35098065
1469;3082.30937251
1470;3082.26776516
1471;3082.2261586
1472;3082.18455284
1473;3082.14294786
1474;3082.10134367
1475;3082.05974028
1476;3082.01813768
1477;3081.97653587
1478;3081.93493485
1479;3081.89333462
1480;3081.85173518
1481;3081.81013654
1482;3081.76853868
1483;3081.72694162
1484;3081.68534535
1485;3081.64374987
1486;3081.60215518
1487;3081.56056128
1488;3081.51896817
1489;3081.47737585
1490;3081.43578433
1491;3081.39419359
1492;3081.35260365
1493;3081.3110145
1494;3081.26942614
1495;3081.22783857
1496;3081.18625179
1497;3081.1446658
